Berichtsjahr,Berichtsmonat,Modellreihe,Anzahl,ZS Anzahl,ObjectId
2025,November,VW GOLF,7407,,1
2025,November,VW T-ROC,5679,,2
2025,November,VW TIGUAN,5334,,3
2025,November,BMW X1,4743,,4
2025,November,BMW 5ER,3895,,5
2025,November,AUDI A6,3885,,6
2025,November,SKODA OCTAVIA,3876,,7
2025,November,"MERCEDES GLK, GLC",3709,,8
2025,November,VW PASSAT,3707,,9
2025,November,MERCEDES E-KLASSE,3667,,10
2025,November,OPEL CORSA,3652,,11
2025,November,MERCEDES CLA-KLASSE,3448,,12
2025,November,SEAT LEON,3349,,13
2025,November,VW ID.7,3340,,14
2025,November,VW TAYRON,3278,,15
2025,November,VW ID.3,3161,,16
2025,November,MINI MINI,3148,,17
2025,November,OPEL ASTRA,3142,,18
2025,November,SKODA ELROQ,3140,,19
2025,November,AUDI A5,3109,,20
2025,November,AUDI A3,3016,,21
2025,November,VW T-CROSS,2945,,22
2025,November,BMW 3ER,2903,,23
2025,November,VW TRANSPORTER,2844,,24
2025,November,SKODA KODIAQ,2830,,25
2025,November,TOYOTA AYGO,2708,,26
2025,November,TOYOTA YARIS,2707,,27
2025,November,VW POLO,2592,,28
2025,November,BMW 1ER,2524,,29
2025,November,BMW X3,2507,,30
2025,November,SKODA KAROQ,2416,,31
2025,November,SKODA ENYAQ,2313,,32
2025,November,HYUNDAI TUCSON,2086,,33
2025,November,DACIA SANDERO,2084,,34
2025,November,MERCEDES GLA,2072,,35
2025,November,SKODA FABIA,2069,,36
2025,November,DACIA BIGSTER,2066,,37
2025,November,BMW 4ER,2048,,38
2025,November,OPEL GRANDLAND X,1919,,39
2025,November,MERCEDES C-KLASSE,1908,,40
2025,November,VOLVO XC60,1887,,41
2025,November,SKODA KAMIQ,1815,,42
2025,November,MERCEDES A-KLASSE,1737,,43
2025,November,AUDI Q5,1709,,44
2025,November,FORD PUMA,1688,,45
2025,November,SKODA SUPERB,1672,,46
2025,November,VW TAIGO,1669,,47
2025,November,FORD KUGA,1664,,48
2025,November,"VW ID.4, ID.5",1662,,49
2025,November,CITROEN C3,1626,,50
